Time_Index,COAL_AID1379,COAL_AID1380,COAL_AID1442,COAL_AID1699,COAL_AID1700,COAL_AID1701,COAL_AID1735,COAL_AID1736,COAL_AID1737,COAL_AID1795,COAL_AID561,COAL_AID704,COAL_AID705,COAL_AID706,COAL_AID709,DR,Electric Vehicles,FO2,FO6,NG_ISNE_LNG,OT,PS,Solar Distributed,Uranium,WAT,NG_Algonquin,NG_Dracut,NG_Iroquois Z2,NG_Tenn Z6,None
0,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,0.0,0.0,0.0,0.0,0.05306,0.0,0.0,0.0,0.0,0.0,0.05306,0.05306,0.05306,0.05306,0.0
1,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
2,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
3,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
4,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
5,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
6,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
7,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
8,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
9,4.473822603,7.21,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0.0,18.68226089,13.54389,8.319825049,0.0790056,0.0,0.0,0.8301,0.0,3.649677419,3.649677419,3.213064516,3.716612903,0.0
