Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
AID107200,0.05,20,20,0,0,0
AID107192,0.05,20,20,0,0,0
AID107201,0.05,20,20,0,0,0
AID107206,0.05,20,20,0,0,0
AID107205,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-61-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-69-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-VT-75-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
