,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,Line_Max_Flow_Possible_MW,WACC
Boston,z1,1,1,16,2629,Boston_to_MassCentral,35,0.0094,2629,12060,0.95,0,0,7000,0.062
Boston,z2,2,2,20,997,Boston_to_MassSE,40,0.001536098,997,12060,0.95,0,0,5000,0.062
Boston,z3,3,3,25,816,Boston_to_NewHampshire,50,0.013636364,816,12060,0.95,0,0,7000,0.062
Boston,z4,4,4,29,1953,Boston_to_RhodeIsland,50,0.018213737,1953,12060,0.95,0,0,5000,0.062
ConnCentral,z5,5,5,9,3650,ConnCentral_to_ConnSW,25,0.005,3650,12060,0.95,0,0,7000,0.062
ConnCentral,z6,6,6,22,1400,ConnCentral_to_MassWest,60,0.01,1400,12060,0.95,0,0,5000,0.062
ConnCentral,z7,7,7,30,393,ConnCentral_to_RhodeIsland,55,0.02,393,12060,0.95,0,0,7000,0.062
ConnNorwalk,z8,8,8,9,1537,ConnNorwalk_to_ConnSW,15,0.005,1537,12060,0.95,0,0,5000,0.062
ConnSW,z9,9,9,5,1100,ConnSW_to_ConnCentral,25,0.005,1100,12060,0.95,0,0,7000,0.062
ConnSW,z10,10,10,8,1650,ConnSW_to_ConnNorwalk,15,0.005,1650,12060,0.95,0,0,5000,0.062
MaineBHE,z11,11,11,17,1975,MaineBHE_to_MaineCentral,80,0.01,1975,12060,0.95,0,0,7000,0.062
MaineCentral,z12,12,12,11,1975,MaineCentral_to_MaineBHE,80,0.01,1975,12060,0.95,0,0,5000,0.062
MaineCentral,z13,13,13,14,1925,MaineCentral_to_MaineSouth,70,0.01,1925,12060,0.95,0,0,7000,0.062
MaineSouth,z14,14,14,12,1925,MaineSouth_to_MaineCentral,70,0.01,1925,12060,0.95,0,0,5000,0.062
MaineSouth,z15,15,15,26,1900,MaineSouth_to_NewHampshire,75,0.03008658,1900,12060,0.95,0,0,7000,0.062
MassCentral,z16,16,16,1,2859,MassCentral_to_Boston,35,0.0094,2859,12060,0.95,0,0,5000,0.062
MassCentral,z17,17,17,23,1286,MassCentral_to_MassWest,50,0.01,1286,12060,0.95,0,0,7000,0.062
MassCentral,z18,18,18,27,900,MassCentral_to_NewHampshire,45,0.0058102,900,12060,0.95,0,0,5000,0.062
MassCentral,z19,19,19,31,1893,MassCentral_to_RhodeIsland,40,0.0272,1893,12060,0.95,0,0,7000,0.062
MassSE,z20,20,20,2,997,MassSE_to_Boston,40,0.001536098,997,12060,0.95,0,0,5000,0.062
MassSE,z21,21,21,32,9999,MassSE_to_RhodeIsland,30,0.016703297,9999,12060,0.95,0,0,7000,0.062
MassWest,z22,22,22,6,1400,MassWest_to_ConnCentral,60,0.01,1400,12060,0.95,0,0,5000,0.062
MassWest,z23,23,23,13,1407,MassWest_to_MassCentral,50,0.01,1407,12060,0.95,0,0,7000,0.062
MassWest,z24,24,24,33,900,MassWest_to_Vermont,40,0.027620841,900,12060,0.95,0,0,5000,0.062
NewHampshire,z25,25,25,3,1391,NewHampshire_to_Boston,50,0.013636364,1391,12060,0.95,0,0,7000,0.062
NewHampshire,z26,26,26,15,650,NewHampshire_to_MaineSouth,75,0.03008658,650,12060,0.95,0,0,5000,0.062
NewHampshire,z27,27,27,18,467,NewHampshire_to_MassCentral,45,0.0058102,467,12060,0.95,0,0,7000,0.062
NewHampshire,z28,28,28,34,800,NewHampshire_to_Vermont,60,0.033270559,800,12060,0.95,0,0,5000,0.062
RhodeIsland,z29,29,29,4,453,RhodeIsland_to_Boston,50,0.018213737,453,12060,0.95,0,0,7000,0.062
RhodeIsland,z30,30,30,7,664,RhodeIsland_to_ConnCentral,55,0.02,664,12060,0.95,0,0,5000,0.062
RhodeIsland,z31,31,31,19,750,RhodeIsland_to_MassCentral,40,0.0272,750,12060,0.95,0,0,7000,0.062
RhodeIsland,z32,32,32,21,9999,RhodeIsland_to_MassSE,30,0.016703297,9999,12060,0.95,0,0,5000,0.062
Vermont,z33,33,33,24,467,Vermont_to_MassWest,40,0.027620841,467,12060,0.95,0,0,7000,0.062
Vermont,z34,34,34,28,400,Vermont_to_NewHampshire,60,0.033270559,400,12060,0.95,0,0,5000,0.062
