Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13
1,1,1,1,1,1,8760,8760,1,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,2,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,3,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,4,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,5,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,6,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,7,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,8,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,9,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,10,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,11,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,12,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,13,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,14,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,15,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,16,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,17,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,18,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,19,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,20,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,21,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,22,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,23,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,24,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,25,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,26,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,27,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,28,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,29,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,30,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,31,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,32,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,33,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,34,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,35,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,36,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,37,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,38,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,39,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,40,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,41,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,42,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,43,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,44,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,45,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,46,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,47,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,48,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,49,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,50,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,51,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,52,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,53,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,54,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,55,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,56,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,57,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,58,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,59,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,60,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,61,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,62,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,63,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,64,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,65,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,66,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,67,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,68,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,69,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,70,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,71,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,72,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,73,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,74,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
,,,,,,,,75,1048.860895,1069.82735,1069.288721,1069.990163,1035.722354,1033.360641,1031.856918,1084.787193,1034.68732,1084.280932,1066.394691,1026.034945,1134.391454
