Time_Index,COAL_AID1379,COAL_AID1380,COAL_AID1442,COAL_AID1699,COAL_AID1700,COAL_AID1701,COAL_AID1735,COAL_AID1736,COAL_AID1737,COAL_AID1795,COAL_AID561,COAL_AID704,COAL_AID705,COAL_AID706,COAL_AID709,DR,Electric Vehicles,FO2,FO6,NG_ISNE_LNG,OT,PS,Solar Distributed,Uranium,WAT,NG_Algonquin,NG_Dracut,NG_Iroquois Z2,NG_Tenn Z6
0,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,205.0761421,0,0,0,0,0.05306,0,0,0,0,0,0.05306,0.05306,0.05306,0.05306
1,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
2,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
3,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
4,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
5,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
6,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
7,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
8,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
9,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
10,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
11,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
12,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
13,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
14,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
15,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
16,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
17,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
18,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
19,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
20,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
21,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
22,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
23,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
24,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
25,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
26,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
27,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
28,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
29,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
30,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
31,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
32,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
33,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
34,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
35,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
36,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
37,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
38,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
39,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
40,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
41,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
42,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
43,6.22,5.86,2.350745121,5.164619504,5.164619504,2.644588261,3.543,2.565792075,3.543,3.438301227,3.684659259,3.202122094,3.202122094,3.202122094,5.657,259.872,0,17.76166523,12.43423,6.466567309,0.0790056,0,0,0.8301,0,5.346922722,5.346922722,4.256879843,5.315287437
