,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
Boston,z1,1,71,72,2629,Boston_to_MassCentral,35,0.0094,2629,12060,0.95,0,0
Boston,z1,2,71,63,997,Boston_to_MassSE,40,0.001536098,997,12060,0.95,0,0
Boston,z1,3,71,74,816,Boston_to_NewHampshire,50,0.013636364,816,12060,0.95,0,0
Boston,z1,4,71,62,1953,Boston_to_RhodeIsland,50,0.018213737,1953,12060,0.95,0,0
ConnCentral,z2,5,61,68,3650,ConnCentral_to_ConnSW,25,0.005,3650,12060,0.95,0,0
ConnCentral,z2,6,61,73,1400,ConnCentral_to_MassWest,60,0.01,1400,12060,0.95,0,0
ConnCentral,z2,7,61,62,393,ConnCentral_to_RhodeIsland,55,0.02,393,12060,0.95,0,0
ConnNorwalk,z3,8,67,68,1537,ConnNorwalk_to_ConnSW,15,0.005,1537,12060,0.95,0,0
ConnSW,z4,9,68,61,1100,ConnSW_to_ConnCentral,25,0.005,1100,12060,0.95,0,0
ConnSW,z4,10,68,67,1650,ConnSW_to_ConnNorwalk,15,0.005,1650,12060,0.95,0,0
MaineBHE,z5,11,69,9,1975,MaineBHE_to_MaineCentral,80,0.01,1975,12060,0.95,0,0
MaineCentral,z6,12,9,69,1975,MaineCentral_to_MaineBHE,80,0.01,1975,12060,0.95,0,0
MaineCentral,z6,13,9,70,1925,MaineCentral_to_MaineSouth,70,0.01,1925,12060,0.95,0,0
MaineSouth,z7,14,70,9,1925,MaineSouth_to_MaineCentral,70,0.01,1925,12060,0.95,0,0
MaineSouth,z7,15,70,74,1900,MaineSouth_to_NewHampshire,75,0.03008658,1900,12060,0.95,0,0
MassCentral,z8,16,72,71,2859,MassCentral_to_Boston,35,0.0094,2859,12060,0.95,0,0
MassCentral,z8,17,72,73,1286,MassCentral_to_MassWest,50,0.01,1286,12060,0.95,0,0
MassCentral,z8,18,72,74,900,MassCentral_to_NewHampshire,45,0.0058102,900,12060,0.95,0,0
MassCentral,z8,19,72,62,1893,MassCentral_to_RhodeIsland,40,0.0272,1893,12060,0.95,0,0
MassSE,z9,20,63,71,997,MassSE_to_Boston,40,0.001536098,997,12060,0.95,0,0
MassSE,z9,21,63,62,9999,MassSE_to_RhodeIsland,30,0.016703297,9999,12060,0.95,0,0
MassWest,z10,22,73,61,1400,MassWest_to_ConnCentral,60,0.01,1400,12060,0.95,0,0
MassWest,z10,23,73,72,1407,MassWest_to_MassCentral,50,0.01,1407,12060,0.95,0,0
MassWest,z10,24,73,75,900,MassWest_to_Vermont,40,0.027620841,900,12060,0.95,0,0
NewHampshire,z11,25,74,71,1391,NewHampshire_to_Boston,50,0.013636364,1391,12060,0.95,0,0
NewHampshire,z11,26,74,70,650,NewHampshire_to_MaineSouth,75,0.03008658,650,12060,0.95,0,0
NewHampshire,z11,27,74,72,467,NewHampshire_to_MassCentral,45,0.0058102,467,12060,0.95,0,0
NewHampshire,z11,28,74,75,800,NewHampshire_to_Vermont,60,0.033270559,800,12060,0.95,0,0
RhodeIsland,z12,29,62,71,453,RhodeIsland_to_Boston,50,0.018213737,453,12060,0.95,0,0
RhodeIsland,z12,30,62,61,664,RhodeIsland_to_ConnCentral,55,0.02,664,12060,0.95,0,0
RhodeIsland,z12,31,62,72,750,RhodeIsland_to_MassCentral,40,0.0272,750,12060,0.95,0,0
RhodeIsland,z12,32,62,63,9999,RhodeIsland_to_MassSE,30,0.016703297,9999,12060,0.95,0,0
Vermont,z13,33,75,73,467,Vermont_to_MassWest,40,0.027620841,467,12060,0.95,0,0
Vermont,z13,34,75,74,400,Vermont_to_NewHampshire,60,0.033270559,400,12060,0.95,0,0
